# Classement personnel de 
# Généré le: 04/10/2025 à 18:51
# Comparaisons effectuées: 50
# Score de confiance moyen: 0.29

Rang;Description;Genre;Catégorie;Score_Mu;Score_Sigma;Score_Confiance
1;Escapade excentrique dans un palace et ses aventures rocambolesques au cœur de l’Europe.;Excentrique;Burlesque;32.12;5.92;0.29
2;Une linguiste est chargée de comprendre d’étranges visiteurs et révèle l’importance du langage face à l’inconnu.;Méditatif;SF-Introspectif;31.58;4.13;0.50
3;L’action et l’espionnage s’entremêlent dans une course contre le temps où tout s’inverse.;Vertigineux;SF-Action;31.50;5.35;0.36
4;Découvrez la planète des sables et ses luttes pour le pouvoir et la survie.;Épique;SF-Épique;30.59;3.95;0.53
5;Un robot cherche sa place parmi la nature sauvage et inconnue, entre aventure et émotions familiales.;Émouvant;Animation;30.42;4.37;0.48
6;Un homme revit la même journée à l’infini et doit bouleverser sa vie.;Humaniste;Comédie-Fantastique;30.25;5.23;0.37
7;Un jeune homme abandonne tout pour la liberté, loin de la société.;Libérateur;Road-movie;29.43;4.76;0.43
8;Une jeune femme décide de rendre le monde meilleur avec générosité et imagination dans un Paris féerique.;Poétique;Fable;29.21;7.19;0.14
9;Deux passionnés tentent l’impossible lors d’une course automobile légendaire.;Pulsé;Biopic-Sport;29.21;7.19;0.14
10;Un astronaute doit survivre seul sur Mars contre toute attente, avec ingéniosité et humour.;Ingénieux;SF-Réaliste;28.54;4.59;0.45
11;Un astronaute traverse le système solaire à la recherche de son père disparu.;Quête;Science-fiction;28.07;5.60;0.33
12;Suivez le destin extraordinaire d’un homme simple à travers les grands moments du XXe siècle.;Touchant;Chronique;27.37;5.62;0.33
13;Le cinéma, la comédie et l’absurde s’entrechoquent dans ce polar délirant et culte.;Absurd;Parodie;27.15;3.93;0.53
14;Une parodie délirante des films d’aviation pleine de gags absurdes et inoubliables.;Burlesque;Parodique;27.04;5.80;0.30
15;Un sous-marin soviétique intrigue, suspense et affrontements tactiques sous haute tension.;Stratégique;Thriller-Politique;26.69;4.97;0.40
16;Pirates, trésors maudits et aventures déjantées en haute mer.;Aventurier;Aventure;26.47;6.21;0.25
17;L’amitié et l’espoir s’allient face à l’injustice et l’enfermement.;Rédempteur;Drame-Carcéral;26.46;5.54;0.33
18;Un groupe de charmeurs organise le casse du siècle à Las Vegas.;Stylé;Casse;26.39;6.07;0.27
19;La naissance du justicier, entre drame intime et action sombre.;Renaissance;Super-héros;26.14;5.78;0.31
20;Gags délirants et parodies inoubliables du cinéma d’action.;Déjanté;Parodique;26.02;4.96;0.40
21;Science-fiction colorée, héros atypiques et aventure intergalactique explosive.;Sauvetage;Sci-fi aventure;25.69;6.02;0.28
22;L’histoire vraie et incroyable d’un jeune escroc insaisissable poursuivi par le FBI.;Charmeur;Comédie-Policier;25.00;9.58;0.00
23;La tension monte dans un sous-marin où la moindre erreur peut tout faire basculer.;Tendu;Thriller-Militaire;25.00;8.33;0.00
24;Deux frères que tout oppose embarquent pour un road-trip inattendu et émouvant.;Répétitif;Drame;25.00;8.33;0.00
25;Un jeune batteur se confronte à l’exigence d’un professeur pour atteindre la perfection musicale.;Fulgurant;Musical;25.00;8.33;0.00
26;Un magicien mystérieux bouleverse la vie de l’aristocratie viennoise.;Envoûtant;Romantique-Fantastique;25.00;9.58;0.00
27;Deux magiciens rivaux se livrent une bataille d’illusions et de secrets.;Obsessif;Mystère;24.97;6.30;0.24
28;Un groupe lutte pour survivre dans des conditions extrêmes après un accident.;Survivaliste;Survie;24.61;4.89;0.41
29;Anticipation et suspense, un policier lutte contre un système qui prédit les crimes.;Prédiction;Thriller sci-fi;23.39;5.22;0.37
30;Des explorateurs traversent les limites de l’espace et du temps pour sauver l’humanité.;Sidérant;SF-Épopée;22.85;3.93;0.53
31;Les meilleurs pilotes s’affrontent dans des combats aériens spectaculaires et pleins d’adrénaline.;Adrénaliné;Action;21.97;5.59;0.33
32;Un adolescent et un savant fou voyagent à travers le temps et bouleversent le passé, le présent et le futur.;Iconique;SF-Comédie;21.47;5.38;0.35
33;Parodie d’espionnage rétro, humour décalé et aventures loufoques au Moyen-Orient.;Espionnage;Comédie d’action;20.79;7.19;0.14
34;Coincé dans un aéroport, un homme transforme l’attente en aventure humaine.;Bienveillant;Comédie-Humaine;19.41;6.32;0.24
35;"Dans une société dystopique divisée en factions, une adolescente découvre qu'elle est ""Divergente"" et menace l'ordre établi, la forçant à fuir un système qui veut l'éliminer.";Conformité;Dystopie;18.30;6.19;0.26
36;Une romance inoubliable à bord d’un paquebot de légende.;Tragique;Romantique;17.97;6.16;0.26
37;Des adolescents amnésiques prisonniers d'un labyrinthe mortel doivent percer son mystère pour s'échapper avant que les créatures nocturnes ne les tuent tous.;Survie;Science-fiction;17.00;5.85;0.30
38;Dans un futur totalitaire, une adolescente devient le symbole d'une rébellion en défiant un jeu télévisé mortel où 24 jeunes s'affrontent jusqu'à la mort.;Rébellion;Dystopie;16.02;5.87;0.30
39;Surfeur déjanté affronte la vie avec humour absurde et gaffes inégalées.;Surf;Comédie;15.66;5.63;0.32
