# Classement personnel de J
# Généré le: 04/10/2025 à 16:06
# Comparaisons effectuées: 20
# Score de confiance moyen: 0.12

Rang;Description;Genre;Catégorie;Score_Mu;Score_Sigma;Score_Confiance
1;Découvrez la planète des sables et ses luttes pour le pouvoir et la survie.;Épique;SF-Épique;32.61;6.11;0.27
2;Un homme revit la même journée à l’infini et doit bouleverser sa vie.;Humaniste;Comédie-Fantastique;32.11;6.38;0.23
3;La tension monte dans un sous-marin où la moindre erreur peut tout faire basculer.;Tendu;Thriller-Militaire;31.68;6.50;0.22
4;Un astronaute traverse le système solaire à la recherche de son père disparu.;Quête;Science-fiction;29.43;5.32;0.36
5;Un robot cherche sa place parmi la nature sauvage et inconnue, entre aventure et émotions familiales.;Émouvant;Animation;29.21;7.19;0.14
6;Suivez le destin extraordinaire d’un homme simple à travers les grands moments du XXe siècle.;Touchant;Chronique;29.21;7.19;0.14
7;Escapade excentrique dans un palace et ses aventures rocambolesques au cœur de l’Europe.;Excentrique;Burlesque;29.21;7.19;0.14
8;Un jeune homme abandonne tout pour la liberté, loin de la société.;Libérateur;Road-movie;29.21;7.19;0.14
9;Un groupe de charmeurs organise le casse du siècle à Las Vegas.;Stylé;Casse;29.21;7.19;0.14
10;Un jeune batteur se confronte à l’exigence d’un professeur pour atteindre la perfection musicale.;Fulgurant;Musical;29.21;7.19;0.14
11;Gags délirants et parodies inoubliables du cinéma d’action.;Déjanté;Parodique;29.21;7.19;0.14
12;L’histoire vraie et incroyable d’un jeune escroc insaisissable poursuivi par le FBI.;Charmeur;Comédie-Policier;28.32;7.23;0.13
13;L’amitié et l’espoir s’allient face à l’injustice et l’enfermement.;Rédempteur;Drame-Carcéral;27.77;7.28;0.13
14;Le cinéma, la comédie et l’absurde s’entrechoquent dans ce polar délirant et culte.;Absurd;Parodie;26.47;6.21;0.25
15;Un astronaute doit survivre seul sur Mars contre toute attente, avec ingéniosité et humour.;Ingénieux;SF-Réaliste;25.00;8.33;0.00
16;Une linguiste est chargée de comprendre d’étranges visiteurs et révèle l’importance du langage face à l’inconnu.;Méditatif;SF-Introspectif;25.00;8.33;0.00
17;Des explorateurs traversent les limites de l’espace et du temps pour sauver l’humanité.;Sidérant;SF-Épopée;25.00;8.33;0.00
18;Deux magiciens rivaux se livrent une bataille d’illusions et de secrets.;Obsessif;Mystère;25.00;8.33;0.00
19;Deux passionnés tentent l’impossible lors d’une course automobile légendaire.;Pulsé;Biopic-Sport;25.00;8.33;0.00
20;Deux frères que tout oppose embarquent pour un road-trip inattendu et émouvant.;Répétitif;Drame;25.00;8.33;0.00
21;Un sous-marin soviétique intrigue, suspense et affrontements tactiques sous haute tension.;Stratégique;Thriller-Politique;25.00;8.33;0.00
22;Un groupe lutte pour survivre dans des conditions extrêmes après un accident.;Survivaliste;Survie;25.00;8.33;0.00
23;La naissance du justicier, entre drame intime et action sombre.;Renaissance;Super-héros;25.00;8.33;0.00
24;Anticipation et suspense, un policier lutte contre un système qui prédit les crimes.;Prédiction;Thriller sci-fi;25.00;8.33;0.00
25;Des adolescents amnésiques prisonniers d'un labyrinthe mortel doivent percer son mystère pour s'échapper avant que les créatures nocturnes ne les tuent tous.;Survie;Science-fiction;25.00;8.33;0.00
26;Dans un futur totalitaire, une adolescente devient le symbole d'une rébellion en défiant un jeu télévisé mortel où 24 jeunes s'affrontent jusqu'à la mort.;Rébellion;Dystopie;25.00;8.33;0.00
27;"Dans une société dystopique divisée en factions, une adolescente découvre qu'elle est ""Divergente"" et menace l'ordre établi, la forçant à fuir un système qui veut l'éliminer.";Conformité;Dystopie;22.43;5.59;0.33
28;Coincé dans un aéroport, un homme transforme l’attente en aventure humaine.;Bienveillant;Comédie-Humaine;21.68;7.23;0.13
29;Une parodie délirante des films d’aviation pleine de gags absurdes et inoubliables.;Burlesque;Parodique;21.68;7.23;0.13
30;Les meilleurs pilotes s’affrontent dans des combats aériens spectaculaires et pleins d’adrénaline.;Adrénaliné;Action;20.79;7.19;0.14
31;Une jeune femme décide de rendre le monde meilleur avec générosité et imagination dans un Paris féerique.;Poétique;Fable;20.79;7.19;0.14
32;Pirates, trésors maudits et aventures déjantées en haute mer.;Aventurier;Aventure;20.79;7.19;0.14
33;Un magicien mystérieux bouleverse la vie de l’aristocratie viennoise.;Envoûtant;Romantique-Fantastique;20.79;7.19;0.14
34;L’action et l’espionnage s’entremêlent dans une course contre le temps où tout s’inverse.;Vertigineux;SF-Action;20.79;7.19;0.14
35;Parodie d’espionnage rétro, humour décalé et aventures loufoques au Moyen-Orient.;Espionnage;Comédie d’action;20.79;7.19;0.14
36;Surfeur déjanté affronte la vie avec humour absurde et gaffes inégalées.;Surf;Comédie;20.79;7.19;0.14
37;Un adolescent et un savant fou voyagent à travers le temps et bouleversent le passé, le présent et le futur.;Iconique;SF-Comédie;18.32;6.50;0.22
38;Une romance inoubliable à bord d’un paquebot de légende.;Tragique;Romantique;18.30;6.19;0.26
39;Science-fiction colorée, héros atypiques et aventure intergalactique explosive.;Sauvetage;Sci-fi aventure;16.64;6.01;0.28
