# Classement personnel de M
# Généré le: 04/10/2025 à 18:30
# Comparaisons effectuées: 50
# Score de confiance moyen: 0.25

Rang;Description;Genre;Catégorie;Score_Mu;Score_Sigma;Score_Confiance
1;Les meilleurs pilotes s’affrontent dans des combats aériens spectaculaires et pleins d’adrénaline.;Adrénaliné;Action;37.43;4.90;0.41
2;Une romance inoubliable à bord d’un paquebot de légende.;Tragique;Romantique;35.00;5.56;0.33
3;Une jeune femme décide de rendre le monde meilleur avec générosité et imagination dans un Paris féerique.;Poétique;Fable;33.98;5.86;0.30
4;Gags délirants et parodies inoubliables du cinéma d’action.;Déjanté;Parodique;33.27;6.09;0.27
5;Deux passionnés tentent l’impossible lors d’une course automobile légendaire.;Pulsé;Biopic-Sport;32.58;6.18;0.26
6;Un jeune batteur se confronte à l’exigence d’un professeur pour atteindre la perfection musicale.;Fulgurant;Musical;32.26;6.27;0.25
7;Une linguiste est chargée de comprendre d’étranges visiteurs et révèle l’importance du langage face à l’inconnu.;Méditatif;SF-Introspectif;30.41;6.94;0.17
8;Science-fiction colorée, héros atypiques et aventure intergalactique explosive.;Sauvetage;Sci-fi aventure;29.82;5.09;0.39
9;Surfeur déjanté affronte la vie avec humour absurde et gaffes inégalées.;Surf;Comédie;28.97;5.97;0.28
10;Pirates, trésors maudits et aventures déjantées en haute mer.;Aventurier;Aventure;28.05;4.90;0.41
11;Parodie d’espionnage rétro, humour décalé et aventures loufoques au Moyen-Orient.;Espionnage;Comédie d’action;27.53;5.78;0.31
12;Des explorateurs traversent les limites de l’espace et du temps pour sauver l’humanité.;Sidérant;SF-Épopée;27.19;5.83;0.30
13;Deux magiciens rivaux se livrent une bataille d’illusions et de secrets.;Obsessif;Mystère;27.14;4.39;0.47
14;Deux frères que tout oppose embarquent pour un road-trip inattendu et émouvant.;Répétitif;Drame;27.09;4.98;0.40
15;Un adolescent et un savant fou voyagent à travers le temps et bouleversent le passé, le présent et le futur.;Iconique;SF-Comédie;26.78;5.84;0.30
16;Suivez le destin extraordinaire d’un homme simple à travers les grands moments du XXe siècle.;Touchant;Chronique;25.86;4.97;0.40
17;Escapade excentrique dans un palace et ses aventures rocambolesques au cœur de l’Europe.;Excentrique;Burlesque;25.00;8.33;0.00
18;Un jeune homme abandonne tout pour la liberté, loin de la société.;Libérateur;Road-movie;25.00;8.33;0.00
19;Un homme revit la même journée à l’infini et doit bouleverser sa vie.;Humaniste;Comédie-Fantastique;25.00;8.33;0.00
20;Un sous-marin soviétique intrigue, suspense et affrontements tactiques sous haute tension.;Stratégique;Thriller-Politique;25.00;8.33;0.00
21;La naissance du justicier, entre drame intime et action sombre.;Renaissance;Super-héros;25.00;8.33;0.00
22;Le cinéma, la comédie et l’absurde s’entrechoquent dans ce polar délirant et culte.;Absurd;Parodie;24.97;5.23;0.37
23;L’action et l’espionnage s’entremêlent dans une course contre le temps où tout s’inverse.;Vertigineux;SF-Action;24.52;6.26;0.25
24;Un robot cherche sa place parmi la nature sauvage et inconnue, entre aventure et émotions familiales.;Émouvant;Animation;24.25;6.34;0.24
25;Un astronaute doit survivre seul sur Mars contre toute attente, avec ingéniosité et humour.;Ingénieux;SF-Réaliste;23.16;7.45;0.11
26;Une parodie délirante des films d’aviation pleine de gags absurdes et inoubliables.;Burlesque;Parodique;22.71;7.35;0.12
27;Un magicien mystérieux bouleverse la vie de l’aristocratie viennoise.;Envoûtant;Romantique-Fantastique;21.64;5.40;0.35
28;L’amitié et l’espoir s’allient face à l’injustice et l’enfermement.;Rédempteur;Drame-Carcéral;20.79;7.19;0.14
29;Un astronaute traverse le système solaire à la recherche de son père disparu.;Quête;Science-fiction;20.79;7.19;0.14
30;Un groupe de charmeurs organise le casse du siècle à Las Vegas.;Stylé;Casse;20.70;5.25;0.37
31;Dans un futur totalitaire, une adolescente devient le symbole d'une rébellion en défiant un jeu télévisé mortel où 24 jeunes s'affrontent jusqu'à la mort.;Rébellion;Dystopie;20.30;6.75;0.19
32;Découvrez la planète des sables et ses luttes pour le pouvoir et la survie.;Épique;SF-Épique;19.74;6.44;0.23
33;La tension monte dans un sous-marin où la moindre erreur peut tout faire basculer.;Tendu;Thriller-Militaire;17.90;6.62;0.21
34;Coincé dans un aéroport, un homme transforme l’attente en aventure humaine.;Bienveillant;Comédie-Humaine;17.69;6.04;0.28
35;Des adolescents amnésiques prisonniers d'un labyrinthe mortel doivent percer son mystère pour s'échapper avant que les créatures nocturnes ne les tuent tous.;Survie;Science-fiction;16.64;6.01;0.28
36;Anticipation et suspense, un policier lutte contre un système qui prédit les crimes.;Prédiction;Thriller sci-fi;16.45;5.77;0.31
37;L’histoire vraie et incroyable d’un jeune escroc insaisissable poursuivi par le FBI.;Charmeur;Comédie-Policier;15.62;5.25;0.37
38;"Dans une société dystopique divisée en factions, une adolescente découvre qu'elle est ""Divergente"" et menace l'ordre établi, la forçant à fuir un système qui veut l'éliminer.";Conformité;Dystopie;15.26;5.39;0.35
39;Un groupe lutte pour survivre dans des conditions extrêmes après un accident.;Survivaliste;Survie;15.05;5.56;0.33
