# Classement personnel de N
# Généré le: 04/10/2025 à 18:11
# Comparaisons effectuées: 20
# Score de confiance moyen: 0.09

Rang;Description;Genre;Catégorie;Score_Mu;Score_Sigma;Score_Confiance
1;L’action et l’espionnage s’entremêlent dans une course contre le temps où tout s’inverse.;Vertigineux;SF-Action;31.68;6.50;0.22
2;Un adolescent et un savant fou voyagent à travers le temps et bouleversent le passé, le présent et le futur.;Iconique;SF-Comédie;29.92;5.17;0.38
3;Deux passionnés tentent l’impossible lors d’une course automobile légendaire.;Pulsé;Biopic-Sport;29.21;7.19;0.14
4;Un homme revit la même journée à l’infini et doit bouleverser sa vie.;Humaniste;Comédie-Fantastique;29.21;7.19;0.14
5;Un magicien mystérieux bouleverse la vie de l’aristocratie viennoise.;Envoûtant;Romantique-Fantastique;29.21;7.19;0.14
6;Une parodie délirante des films d’aviation pleine de gags absurdes et inoubliables.;Burlesque;Parodique;29.21;7.19;0.14
7;La tension monte dans un sous-marin où la moindre erreur peut tout faire basculer.;Tendu;Thriller-Militaire;29.19;8.08;0.03
8;Un robot cherche sa place parmi la nature sauvage et inconnue, entre aventure et émotions familiales.;Émouvant;Animation;28.54;7.19;0.14
9;Dans un futur totalitaire, une adolescente devient le symbole d'une rébellion en défiant un jeu télévisé mortel où 24 jeunes s'affrontent jusqu'à la mort.;Rébellion;Dystopie;28.48;5.07;0.39
10;Anticipation et suspense, un policier lutte contre un système qui prédit les crimes.;Prédiction;Thriller sci-fi;28.32;7.23;0.13
11;Gags délirants et parodies inoubliables du cinéma d’action.;Déjanté;Parodique;27.94;7.24;0.13
12;Des adolescents amnésiques prisonniers d'un labyrinthe mortel doivent percer son mystère pour s'échapper avant que les créatures nocturnes ne les tuent tous.;Survie;Science-fiction;27.81;5.88;0.29
13;Deux magiciens rivaux se livrent une bataille d’illusions et de secrets.;Obsessif;Mystère;25.75;6.34;0.24
14;Un astronaute doit survivre seul sur Mars contre toute attente, avec ingéniosité et humour.;Ingénieux;SF-Réaliste;25.00;9.59;0.00
15;Une linguiste est chargée de comprendre d’étranges visiteurs et révèle l’importance du langage face à l’inconnu.;Méditatif;SF-Introspectif;25.00;8.33;0.00
16;Des explorateurs traversent les limites de l’espace et du temps pour sauver l’humanité.;Sidérant;SF-Épopée;25.00;8.33;0.00
17;Les meilleurs pilotes s’affrontent dans des combats aériens spectaculaires et pleins d’adrénaline.;Adrénaliné;Action;25.00;9.59;0.00
18;Une jeune femme décide de rendre le monde meilleur avec générosité et imagination dans un Paris féerique.;Poétique;Fable;25.00;8.33;0.00
19;L’amitié et l’espoir s’allient face à l’injustice et l’enfermement.;Rédempteur;Drame-Carcéral;25.00;8.33;0.00
20;Découvrez la planète des sables et ses luttes pour le pouvoir et la survie.;Épique;SF-Épique;25.00;8.33;0.00
21;Pirates, trésors maudits et aventures déjantées en haute mer.;Aventurier;Aventure;25.00;8.33;0.00
22;L’histoire vraie et incroyable d’un jeune escroc insaisissable poursuivi par le FBI.;Charmeur;Comédie-Policier;25.00;9.59;0.00
23;Deux frères que tout oppose embarquent pour un road-trip inattendu et émouvant.;Répétitif;Drame;25.00;8.33;0.00
24;Un groupe de charmeurs organise le casse du siècle à Las Vegas.;Stylé;Casse;25.00;9.59;0.00
25;Un sous-marin soviétique intrigue, suspense et affrontements tactiques sous haute tension.;Stratégique;Thriller-Politique;25.00;9.59;0.00
26;Un groupe lutte pour survivre dans des conditions extrêmes après un accident.;Survivaliste;Survie;25.00;8.33;0.00
27;Parodie d’espionnage rétro, humour décalé et aventures loufoques au Moyen-Orient.;Espionnage;Comédie d’action;25.00;8.33;0.00
28;Un astronaute traverse le système solaire à la recherche de son père disparu.;Quête;Science-fiction;25.00;8.33;0.00
29;"Dans une société dystopique divisée en factions, une adolescente découvre qu'elle est ""Divergente"" et menace l'ordre établi, la forçant à fuir un système qui veut l'éliminer.";Conformité;Dystopie;25.00;8.33;0.00
30;Surfeur déjanté affronte la vie avec humour absurde et gaffes inégalées.;Surf;Comédie;25.00;8.33;0.00
31;Coincé dans un aéroport, un homme transforme l’attente en aventure humaine.;Bienveillant;Comédie-Humaine;24.31;6.28;0.25
32;Suivez le destin extraordinaire d’un homme simple à travers les grands moments du XXe siècle.;Touchant;Chronique;20.79;7.19;0.14
33;Escapade excentrique dans un palace et ses aventures rocambolesques au cœur de l’Europe.;Excentrique;Burlesque;20.79;7.19;0.14
34;Un jeune batteur se confronte à l’exigence d’un professeur pour atteindre la perfection musicale.;Fulgurant;Musical;20.79;7.19;0.14
35;Le cinéma, la comédie et l’absurde s’entrechoquent dans ce polar délirant et culte.;Absurd;Parodie;19.59;6.94;0.17
36;Une romance inoubliable à bord d’un paquebot de légende.;Tragique;Romantique;18.43;6.58;0.21
37;Science-fiction colorée, héros atypiques et aventure intergalactique explosive.;Sauvetage;Sci-fi aventure;18.32;6.50;0.22
38;La naissance du justicier, entre drame intime et action sombre.;Renaissance;Super-héros;17.28;6.28;0.25
39;Un jeune homme abandonne tout pour la liberté, loin de la société.;Libérateur;Road-movie;17.23;5.99;0.28
