# Classement personnel de S
# Généré le: 04/10/2025 à 18:16
# Comparaisons effectuées: 20
# Score de confiance moyen: 0.11

Rang;Description;Genre;Catégorie;Score_Mu;Score_Sigma;Score_Confiance
1;Anticipation et suspense, un policier lutte contre un système qui prédit les crimes.;Prédiction;Thriller sci-fi;32.86;6.13;0.26
2;"Dans une société dystopique divisée en factions, une adolescente découvre qu'elle est ""Divergente"" et menace l'ordre établi, la forçant à fuir un système qui veut l'éliminer.";Conformité;Dystopie;31.77;6.71;0.19
3;Un astronaute traverse le système solaire à la recherche de son père disparu.;Quête;Science-fiction;30.99;6.56;0.21
4;Escapade excentrique dans un palace et ses aventures rocambolesques au cœur de l’Europe.;Excentrique;Burlesque;30.69;6.91;0.17
5;Deux frères que tout oppose embarquent pour un road-trip inattendu et émouvant.;Répétitif;Drame;30.69;6.91;0.17
6;Une romance inoubliable à bord d’un paquebot de légende.;Tragique;Romantique;29.21;7.19;0.14
7;L’action et l’espionnage s’entremêlent dans une course contre le temps où tout s’inverse.;Vertigineux;SF-Action;29.21;7.19;0.14
8;Parodie d’espionnage rétro, humour décalé et aventures loufoques au Moyen-Orient.;Espionnage;Comédie d’action;29.21;7.19;0.14
9;Des adolescents amnésiques prisonniers d'un labyrinthe mortel doivent percer son mystère pour s'échapper avant que les créatures nocturnes ne les tuent tous.;Survie;Science-fiction;29.21;7.19;0.14
10;Une linguiste est chargée de comprendre d’étranges visiteurs et révèle l’importance du langage face à l’inconnu.;Méditatif;SF-Introspectif;27.56;5.76;0.31
11;Un robot cherche sa place parmi la nature sauvage et inconnue, entre aventure et émotions familiales.;Émouvant;Animation;26.45;5.12;0.39
12;Un astronaute doit survivre seul sur Mars contre toute attente, avec ingéniosité et humour.;Ingénieux;SF-Réaliste;25.00;8.33;0.00
13;Deux magiciens rivaux se livrent une bataille d’illusions et de secrets.;Obsessif;Mystère;25.00;9.59;0.00
14;Les meilleurs pilotes s’affrontent dans des combats aériens spectaculaires et pleins d’adrénaline.;Adrénaliné;Action;25.00;9.59;0.00
15;Un adolescent et un savant fou voyagent à travers le temps et bouleversent le passé, le présent et le futur.;Iconique;SF-Comédie;25.00;8.33;0.00
16;Une jeune femme décide de rendre le monde meilleur avec générosité et imagination dans un Paris féerique.;Poétique;Fable;25.00;8.33;0.00
17;Deux passionnés tentent l’impossible lors d’une course automobile légendaire.;Pulsé;Biopic-Sport;25.00;9.59;0.00
18;L’amitié et l’espoir s’allient face à l’injustice et l’enfermement.;Rédempteur;Drame-Carcéral;25.00;8.33;0.00
19;Découvrez la planète des sables et ses luttes pour le pouvoir et la survie.;Épique;SF-Épique;25.00;8.33;0.00
20;Un jeune homme abandonne tout pour la liberté, loin de la société.;Libérateur;Road-movie;25.00;8.33;0.00
21;Un groupe de charmeurs organise le casse du siècle à Las Vegas.;Stylé;Casse;25.00;8.33;0.00
22;Un jeune batteur se confronte à l’exigence d’un professeur pour atteindre la perfection musicale.;Fulgurant;Musical;25.00;8.33;0.00
23;Un groupe lutte pour survivre dans des conditions extrêmes après un accident.;Survivaliste;Survie;25.00;8.33;0.00
24;La naissance du justicier, entre drame intime et action sombre.;Renaissance;Super-héros;25.00;8.33;0.00
25;Dans un futur totalitaire, une adolescente devient le symbole d'une rébellion en défiant un jeu télévisé mortel où 24 jeunes s'affrontent jusqu'à la mort.;Rébellion;Dystopie;25.00;8.33;0.00
26;Science-fiction colorée, héros atypiques et aventure intergalactique explosive.;Sauvetage;Sci-fi aventure;24.96;6.30;0.24
27;Un magicien mystérieux bouleverse la vie de l’aristocratie viennoise.;Envoûtant;Romantique-Fantastique;24.20;6.55;0.21
28;Un sous-marin soviétique intrigue, suspense et affrontements tactiques sous haute tension.;Stratégique;Thriller-Politique;23.13;6.21;0.26
29;La tension monte dans un sous-marin où la moindre erreur peut tout faire basculer.;Tendu;Thriller-Militaire;22.19;5.88;0.29
30;Suivez le destin extraordinaire d’un homme simple à travers les grands moments du XXe siècle.;Touchant;Chronique;21.68;7.23;0.13
31;Le cinéma, la comédie et l’absurde s’entrechoquent dans ce polar délirant et culte.;Absurd;Parodie;21.04;7.33;0.12
32;Des explorateurs traversent les limites de l’espace et du temps pour sauver l’humanité.;Sidérant;SF-Épopée;20.79;7.19;0.14
33;Pirates, trésors maudits et aventures déjantées en haute mer.;Aventurier;Aventure;20.79;7.19;0.14
34;L’histoire vraie et incroyable d’un jeune escroc insaisissable poursuivi par le FBI.;Charmeur;Comédie-Policier;20.79;7.19;0.14
35;Un homme revit la même journée à l’infini et doit bouleverser sa vie.;Humaniste;Comédie-Fantastique;20.79;7.19;0.14
36;Coincé dans un aéroport, un homme transforme l’attente en aventure humaine.;Bienveillant;Comédie-Humaine;20.79;7.19;0.14
37;Une parodie délirante des films d’aviation pleine de gags absurdes et inoubliables.;Burlesque;Parodique;20.79;7.19;0.14
38;Surfeur déjanté affronte la vie avec humour absurde et gaffes inégalées.;Surf;Comédie;20.79;7.19;0.14
39;Gags délirants et parodies inoubliables du cinéma d’action.;Déjanté;Parodique;19.01;6.56;0.21
